# ops request: type='db'
# SELECT strategy_id AS s, exit_ts AS t, entry_delay_sec AS lag, ROUND(gross_pct,3) AS g, size_sol AS sz, ROUND(net_sol,5) AS net, scaled_out AS sc, substr(mint,1,10) AS mint, substr(lead_wallet,1,10) AS lead FROM copy_trades WHERE status='closed' AND net_sol IS NOT NULL AND strategy_id IN ('copy-hotlead-strict','copy-hotlead-strict-hi','copy-fable-leadcap') ORDER BY exit_ts ASC, id ASC
  s                      | t          | lag | g       | sz  | net      | sc | mint       | lead      
  copy-hotlead-strict    | 1782032453 | 5   | -34.062 | 0.5 | -0.18531 | 0  | CmGiejTfCy | DVhwSE98dH
  copy-hotlead-strict    | 1782042030 | 5   | 6.464   | 0.5 | 0.01732  | 0  | 49x3fgcezX | 4RDNo5BBAj
  copy-hotlead-strict    | 1782047375 | 5   | -30.466 | 0.5 | -0.16733 | 0  | Gw7YRUTc4u | DVhwSE98dH
  copy-hotlead-strict    | 1782051552 | 5   | -35.372 | 0.5 | -0.19186 | 0  | 3THLFCKHhT | B6yHBbrfZV
  copy-hotlead-strict    | 1782051978 | 5   | -30.821 | 0.5 | -0.16911 | 0  | HzKHkoYWm8 | DVhwSE98dH
  copy-hotlead-strict    | 1782056358 | 5   | 134.457 | 0.5 | 0.65729  | 0  | 7AZPFMALNA | 5hYsHp8HWF
  copy-hotlead-strict    | 1782057909 | 5   | 105.078 | 0.5 | 0.51039  | 0  | EZTgySaSt3 | DVhwSE98dH
  copy-hotlead-strict    | 1782058083 | 5   | -36.607 | 0.5 | -0.19803 | 0  | 7AZPFMALNA | 5hYsHp8HWF
  copy-hotlead-strict    | 1782060460 | 5   | -44.047 | 0.5 | -0.23523 | 0  | 5xEpjBbnRa | DVhwSE98dH
  copy-hotlead-strict    | 1782064536 | 5   | -32.483 | 0.5 | -0.17741 | 0  | Mz4hkFMVtg | 5q8osC4CZR
  copy-hotlead-strict    | 1782066963 | 5   | -35.668 | 0.5 | -0.19334 | 0  | 4GdrUM7Wnx | 7bTsRggGmD
  copy-hotlead-strict    | 1782069842 | 5   | -40.195 | 0.5 | -0.21598 | 0  | 6rZ8Yj61UL | 5hYsHp8HWF
  copy-hotlead-strict    | 1782071299 | 5   | 117.479 | 0.5 | 0.57239  | 0  | 4u1PPMtchn | DVhwSE98dH
  copy-hotlead-strict    | 1782075076 | 5   | -30.06  | 0.5 | -0.1653  | 0  | 2Nu6MgBDwr | 7bTsRggGmD
  copy-hotlead-strict    | 1782079054 | 5   | -31.138 | 0.5 | -0.17069 | 0  | Hg4dcXKB48 | 7bTsRggGmD
  copy-hotlead-strict    | 1782095387 | 5   | 111.763 | 0.5 | 0.54382  | 0  | Hj8ZSWm7qp | 5q8osC4CZR
  copy-hotlead-strict    | 1782097541 | 5   | -97.651 | 0.5 | -0.50326 | 0  | 4EQ4ttsQ6k | HM5iEcL9h1
  copy-hotlead-strict    | 1782098787 | 5   | -30.058 | 0.5 | -0.16529 | 0  | FkQnbEexG3 | 4RDNo5BBAj
  copy-hotlead-strict    | 1782100510 | 5   | 104.533 | 0.5 | 0.50767  | 0  | 6jbx2PGZfX | 5aXbFCpg5f
  copy-hotlead-strict    | 1782101169 | 5   | -96.482 | 0.5 | -0.49741 | 0  | CzDTQWDNPE | 3iZG5TLva2
  copy-hotlead-strict    | 1782103678 | 5   | -96.001 | 0.5 | -0.49501 | 0  | DRS91BHoco | 3iZG5TLva2
  copy-hotlead-strict    | 1782109852 | 5   | 101.619 | 0.5 | 0.49309  | 0  | DtgneYfuPv | 5wTqTAZSGW
  copy-hotlead-strict    | 1782112030 | 5   | 313.596 | 0.5 | 1.55298  | 0  | 4FnEvpYyVB | 3iZG5TLva2
  copy-hotlead-strict    | 1782113405 | 5   | 107.559 | 0.5 | 0.5228   | 0  | 4yum7nfMZ3 | 6FYgn2apNX
  copy-hotlead-strict    | 1782113532 | 5   | 103.463 | 0.5 | 0.50232  | 0  | 4FnEvpYyVB | 5wTqTAZSGW
  copy-hotlead-strict    | 1782116661 | 5   | -31.351 | 0.5 | -0.17176 | 0  | ARrqRetXUj | HDeRTCPU5F
  copy-hotlead-strict    | 1782117635 | 5   | 113.082 | 0.5 | 0.55041  | 0  | idDfaXijMK | 5q8osC4CZR
  copy-hotlead-strict    | 1782119834 | 5   | -34.833 | 0.5 | -0.18916 | 0  | 4FnEvpYyVB | 3iZG5TLva2
  copy-hotlead-strict    | 1782120365 | 5   | -30.181 | 0.5 | -0.16591 | 0  | ARrqRetXUj | HDeRTCPU5F
  copy-hotlead-strict    | 1782120609 | 5   | -30.413 | 0.5 | -0.16706 | 0  | 4opYauvz3b | 6FYgn2apNX
  copy-hotlead-strict    | 1782122656 | 5   | 116.702 | 0.5 | 0.56851  | 0  | FDJSf1NVva | 5aXbFCpg5f
  copy-hotlead-strict    | 1782122688 | 5   | -31.76  | 0.5 | -0.1738  | 0  | DtgneYfuPv | 3iZG5TLva2
  copy-hotlead-strict    | 1782124287 | 5   | -32.411 | 0.5 | -0.17705 | 0  | 4FnEvpYyVB | 3iZG5TLva2
  copy-hotlead-strict    | 1782124913 | 5   | -31.997 | 0.5 | -0.17498 | 0  | 4FnEvpYyVB | 3iZG5TLva2
  copy-hotlead-strict    | 1782125298 | 5   | -30.055 | 0.5 | -0.16528 | 0  | FDJSf1NVva | 5wTqTAZSGW
  copy-hotlead-strict    | 1782127495 | 5   | -30.244 | 0.5 | -0.16622 | 0  | Ewswnwrzzh | 6FYgn2apNX
  copy-hotlead-strict    | 1782128442 | 5   | -30.829 | 0.5 | -0.16914 | 0  | 6UkQu9c5t9 | 6FYgn2apNX
  copy-hotlead-strict    | 1782129361 | 5   | -31.464 | 0.5 | -0.17232 | 0  | DtgneYfuPv | 4sRjm252FQ
  copy-hotlead-strict    | 1782129614 | 5   | -30.779 | 0.5 | -0.1689  | 0  | Cm16NYmaAS | 6FYgn2apNX
  copy-hotlead-strict    | 1782131789 | 5   | 100.195 | 0.5 | 0.48597  | 0  | DtgneYfuPv | 4sRjm252FQ
  copy-hotlead-strict    | 1782132262 | 5   | -32.374 | 0.5 | -0.17687 | 0  | HzKHkoYWm8 | 6FYgn2apNX
  copy-hotlead-strict    | 1782132275 | 5   | -35.493 | 0.5 | -0.19246 | 0  | FDJSf1NVva | BdQjY2iBXu
  copy-hotlead-strict    | 1782133421 | 5   | -36.645 | 0.5 | -0.19823 | 0  | 23c2VGbK7q | 6FYgn2apNX
  copy-hotlead-strict    | 1782133869 | 5   | -21.357 | 0.5 | -0.12178 | 0  | AzdSZX3bGj | 6FYgn2apNX
  copy-hotlead-strict    | 1782134296 | 5   | 22.567  | 0.5 | 0.09784  | 0  | AMajaeb3Qz | 6FYgn2apNX
  copy-hotlead-strict    | 1782134654 | 5   | -36.225 | 0.5 | -0.19612 | 0  | BohiYrLdvM | 6FYgn2apNX
  copy-hotlead-strict    | 1782134804 | 5   | -34.84  | 0.5 | -0.1892  | 0  | DKvic1v7g2 | 6FYgn2apNX
  copy-hotlead-strict    | 1782135128 | 5   | -30.408 | 0.5 | -0.16704 | 0  | 49x3fgcezX | 6FYgn2apNX
